0,you
1,the
2,it
3,that
4,a
5,what
6,i
7,is
8,do
9,and
10,to
11,in
12,there
13,this
14,we
15,on
16,go
17,here
18,your
19,can
20,he
21,are
22,no
23,see
24,don't
25,look
26,put
27,like
28,gonna
29,of
30,did
31,where
32,get
33,have
34,wanna
35,up
36,with
37,for
38,they
39,me
40,mommy
41,good
42,think
43,at
44,say
45,she
46,little
47,not
48,now
49,all
50,some
51,does
52,how
53,was
54,out
55,who
56,be
57,so
58,am
59,down
60,baby
61,my
62,yes
63,play
64,make
65,back
66,eat
67,his
68,over
69,too
70,her
71,about
72,big
73,but
74,take
75,daddy
76,if
77,them
78,more
79,him
80,book
81,would
82,then
83,why
84,those
85,have_to
86,when
87,an
88,off
89,these
90,sit
91,need
92,thank_you
93,other
94,boy
95,try
96,give
97,nice
98,ball
99,car
100,were
101,could
102,time
103,read
104,another
105,bye
106,hand
107,will
108,call
109,help
110,house
111,hi
112,girl
113,open
114,find
115,bear
116,uhoh
117,away
118,head
119,hold
120,wait
121,water
122,box
123,please
124,pretty
125,around
126,talk
127,push
128,show
129,today
130,toy
131,bird
132,red
133,any
134,watch
135,kitty
136,cookie
137,picture
138,gotta
139,blue
140,chair
141,because
142,nose
143,cat
144,better
145,eye
146,hat
147,mouth
148,hello
149,dog
150,work
151,bed
152,hair
153,lot
154,which
155,throw
156,first
157,love
158,juice
159,day
160,cow
161,drink
162,truck
163,shoe
164,people
165,green
166,pick
167,home
168,bunny
169,milk
170,walk
171,by
172,new
173,animal
174,close
175,sleep
176,our
177,bring
178,school
179,pull
180,clean
181,door
182,train
183,hear
184,man
185,stay
186,much
187,fall
188,stop
189,into
190,cup
191,duck
192,table
193,yellow
194,kiss
195,fix
196,block
197,ear
198,careful
199,ride
200,tree
201,horse
202,sing
203,egg
204,face
205,hurt
206,fit
207,hard
208,their
209,pig
210,fish
211,outside
212,orange
213,jump
214,finish
215,story
216,food
217,chicken
218,apple
219,paper
220,room
221,telephone
222,draw
223,stand
224,long
225,morning
226,wash
227,bite
228,us
229,tape
230,after
231,finger
232,hot
233,flower
234,inside
235,run
236,light
237,friend
238,foot
239,cheese
240,before
241,under
242,cold
243,old
244,touch
245,bottle
246,next
247,last
248,hungry
249,build
250,spoon
251,happy
252,diaper
253,cry
254,grandma
255,tire
256,night
257,cut
258,bus
259,brush
260,later
261,tickle
262,white
263,airplane
264,potato
265,yourself
266,stick
267,peekaboo
268,shirt
269,breakfast
270,arm
271,listen
272,button
273,store
274,dress
275,crayon
276,coffee
277,night_night
278,puzzle
279,buy
280,hit
281,dirty
282,elephant
283,moo
284,quack
285,catch
286,sheep
287,puppy
288,stuck
289,blow
290,leg
291,black
292,sock
293,break
294,drive
295,pretend
296,monkey
297,rock
298,shake
299,lunch
300,bad
301,knock
302,write
303,choo
304,mouse
305,cake
306,game
307,hide
308,toe
309,farm
310,lady
311,window
312,swim
313,doll
314,pumpkin
315,pants
316,yesterday
317,dance
318,brown
319,same
320,cute
321,ice_cream
322,money
323,banana
324,boat
325,ouch
326,snow
327,wet
328,bowl
329,lion
330,sun
331,dinner
332,cook
333,wipe
334,nap
335,drop
336,bug
337,dry
338,kitchen
339,climb
340,taste
341,hug
342,rain
343,bubble
344,bath
345,feed
346,doctor
347,behind
348,moon
349,meow
350,fast
351,gone
352,shh
353,sleepy
354,tomorrow
355,frog
356,swing
357,camera
358,paint
359,bread
360,glasses
361,blanket
362,star
363,yum
364,spill
365,cereal
366,balloon
367,mine
368,zoo
369,slide
370,woof
371,poor
372,pour
373,dump
374,bump
375,grandpa
376,fine
377,party
378,chocolate
379,carry
380,cover
381,broken
382,carrot
383,present
384,plate
385,butterfly
386,street
387,sister
388,clap
389,tv
390,comb
391,cracker
392,basket
393,towel
394,bicycle
395,butter
396,tiny
397,turtle
398,yogurt
399,tongue
400,playdoh
401,high
402,full
403,toast
404,scare
405,hammer
406,sad
407,tiger
408,park
409,tonight
410,teddy
411,person
412,sky
413,brother
414,snack
415,potty
416,beach
417,bee
418,key
419,tummy
420,kick
421,clown
422,tractor
423,bean
424,sandwich
425,wind
426,bathroom
427,each
428,pen
429,wake
430,every
431,pillow
432,movie
433,soup
434,share
435,soft
436,pajama
437,sick
438,corn
439,dish
440,owl
441,heavy
442,refrigerator
443,raisin
444,sticky
445,vroom
446,grape
447,strawberry
448,grass
449,pencil
450,lamb
451,nurse
452,uncle
453,smile
454,baa
455,stair
456,knee
457,tissue
458,loud
459,candy
460,clock
461,mad
462,quiet
463,dark
464,rooster
465,giraffe
466,glass
467,medicine
468,plant
469,boot
470,napkin
471,shop
472,gentle
473,purse
474,coat
475,garbage
476,turkey
477,yucky
478,motorcycle
479,hurry
480,booboo
481,empty
482,bead
483,thirsty
484,couch
485,garage
486,donkey
487,aunt
488,bucket
489,fork
490,garden
491,peanut_butter
492,nut
493,splash
494,meat
495,penny
496,squirrel
497,soap
498,lip
499,teacher
500,cheerio
501,bedroom
502,pea
503,asleep
504,wish
505,pickle
506,living_room
507,bathtub
508,ice
509,jacket
510,buttocks
511,pattycake
512,snowman
513,pool
514,pizza
515,ladder
516,bib
517,chase
518,drawer
519,slow
520,roof
521,firetruck
522,picnic
523,slipper
524,tray
525,bat
526,tear
527,chip
528,knife
529,sink
530,trash
531,circus
532,alligator
533,spaghetti
534,fireman
535,shovel
536,pancake
537,zipper
538,closet
539,chin
540,cowboy
541,ant
542,helicopter
543,zebra
544,glue
545,shower
546,pony
547,lick
548,jelly
549,rip
550,hamburger
551,wolf
552,hen
553,penguin
554,stove
555,crib
556,sweater
557,nail
558,police
559,myself
560,noodle
561,goose
562,yard
563,oven
564,toothbrush
565,playground
566,broom
567,stone
568,scissors
569,necklace
570,tooth
571,gum
